Date : 2023-09-15 17:48:57
Directory : c:\Users\Phil\Desktop\zazie bot
Total : 271 files,  42530 codes, 6858 comments, 6141 blanks, all 55529 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\cutlock.js              | JavaScript |         96 |          0 |         24 |        120 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\daily.js                | JavaScript |         47 |          0 |         10 |         57 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\degree.js               | JavaScript |        564 |          0 |        127 |        691 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\degreeprogress.js       | JavaScript |        129 |          0 |         28 |        157 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\dep.js                  | JavaScript |        117 |          2 |         23 |        142 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\dig.js                  | JavaScript |        745 |          0 |        100 |        845 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\fish.js                 | JavaScript |        166 |          0 |         29 |        195 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\gamble.js               | JavaScript |        168 |          0 |         38 |        206 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\give.js                 | JavaScript |        107 |         25 |         28 |        160 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\guess.js                | JavaScript |         86 |          0 |         13 |         99 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\hunt.js                 | JavaScript |        206 |          0 |         35 |        241 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\inv.js                  | JavaScript |        250 |          0 |         49 |        299 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\item.js                 | JavaScript |        105 |          0 |         14 |        119 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\job.js                  | JavaScript |      1,699 |          0 |        327 |      2,026 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\leaderboard.js          | JavaScript |         66 |          0 |         17 |         83 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\learn.js                | JavaScript |      2,606 |          0 |        461 |      3,067 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\removelock.js           | JavaScript |         51 |          0 |          9 |         60 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\removesquirelock.js     | JavaScript |         51 |          0 |          9 |         60 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\rob.js                  | JavaScript |      1,820 |          0 |        269 |      2,089 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\robux.js                | JavaScript |         40 |          0 |          8 |         48 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\search.js               | JavaScript |      1,685 |          0 |        226 |      1,911 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\sell.js                 | JavaScript |        973 |          1 |        174 |      1,148 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\sellableitems.js        | JavaScript |         33 |          0 |          8 |         41 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\shop.js                 | JavaScript |        122 |          1 |         25 |        148 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\slots.js                | JavaScript |        116 |          2 |         40 |        158 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\steal.js                | JavaScript |         52 |          0 |         15 |         67 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\takepicture.js          | JavaScript |        625 |          0 |        186 |        811 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\use.js                  | JavaScript |         80 |          0 |          7 |         87 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\walletlb.js             | JavaScript |         66 |          0 |         17 |         83 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\with.js                 | JavaScript |        117 |          2 |         23 |        142 |
| c:\Users\Phil\Desktop\zazie bot\commands\economy\work.js                 | JavaScript |        234 |          0 |         58 |        292 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\8ball.js                    | JavaScript |         42 |          0 |          6 |         48 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\adopted.js                  | JavaScript |         87 |          0 |         17 |        104 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\advice.js                   | JavaScript |         17 |          0 |          1 |         18 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\akinator.js                 | JavaScript |         11 |          0 |          1 |         12 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\alignment.js                | JavaScript |         20 |          0 |          3 |         23 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\anime.js                    | JavaScript |         33 |          0 |          3 |         36 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\art.js                      | JavaScript |         31 |          0 |          2 |         33 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\bite.js                     | JavaScript |         68 |          0 |         15 |         83 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\blur.js                     | JavaScript |        109 |          0 |          4 |        113 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\blush.js                    | JavaScript |         79 |          0 |         22 |        101 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\cat.js                      | JavaScript |         33 |          0 |          3 |         36 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\clap.js                     | JavaScript |         51 |          0 |          9 |         60 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\comment.js                  | JavaScript |         69 |          0 |          2 |         71 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\country.js                  | JavaScript |         75 |          0 |          5 |         80 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\cry.js                      | JavaScript |         72 |          0 |          9 |         81 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\cuddle.js                   | JavaScript |        103 |          0 |          9 |        112 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\dance.js                    | JavaScript |         79 |          0 |         21 |        100 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\dog.js                      | JavaScript |         33 |          0 |          3 |         36 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\facepalm.js                 | JavaScript |         75 |          0 |         18 |         93 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\glare.js                    | JavaScript |         79 |          0 |         20 |         99 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\glass.js                    | JavaScript |         48 |          0 |          2 |         50 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\greyscale.js                | JavaScript |         51 |          0 |          3 |         54 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\hug.js                      | JavaScript |        104 |          0 |         12 |        116 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\invert.js                   | JavaScript |         51 |          0 |          3 |         54 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\joke.js                     | JavaScript |         22 |          0 |          2 |         24 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\kill.js                     | JavaScript |         95 |          0 |          9 |        104 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\kiss.js                     | JavaScript |        108 |          0 |         14 |        122 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\laugh.js                    | JavaScript |         76 |          0 |         15 |         91 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\mcskin.js                   | JavaScript |         45 |          0 |          7 |         52 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\ok.js                       | JavaScript |         77 |          0 |         25 |        102 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\pat.js                      | JavaScript |         92 |          0 |         15 |        107 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\pixelate.js                 | JavaScript |        108 |          0 |          3 |        111 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\poke.js                     | JavaScript |         92 |          0 |         16 |        108 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\poker.js                    | JavaScript |         48 |          0 |         16 |         64 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\posterize.js                | JavaScript |        108 |          0 |          3 |        111 |
